Title,Genre,Subgenres,Setting,Protagonist_Demographics,Protagonist_Gender,Protagonist_Ethnicity,Main_Studio,Theme1, Theme2 ,Number_of_Episodes,Rating
Death Note,Mystery,Thriller,Modern Japan,Teen,Male,Japanese,Madhouse,Justice,Morality,37,9.0
Code Geass,Mecha,Action,Alternate World,Teen,Male,Japanese,Sunrise,Rebellion,Strategy,50,8.7
Clannad,Slice of Life,Romance,Modern Japan,Teen,Male,Japanese,Kyoto Animation,Family,Grief,23,8.3
Toradora!,Romance,Comedy,School,Teen,Male,Japanese,J.C.Staff,Love,Friendship,25,8.1
Attack on Titan,Action,Dark Fantasy,Post-Apocalyptic,Teen,Male,Fictional,Wit Studio,Survival,War,89,8.8
Your Lie in April,Romance,Drama,Modern Japan,Teen,Male,Japanese,A-1 Pictures,Music,Grief,22,8.6
My Hero Academia,Action,Superhero,Modern Japan,Teen,Male,Japanese,Bones,Heroism,Friendship,Ongoing,8.5
Demon Slayer,Action,Fantasy,Taisho Era Japan,Teen,Male,Japanese,Ufotable,Demons,Family,52,8.7
Jujutsu Kaisen,Action,Supernatural,Modern Japan,Teen,Male,Japanese,MAPPA,Curses,Friendship,48,8.4
Violet Evergarden,Drama,Fantasy,Post-War,Young Adult,Female,European,Kyoto Animation,Grief,Healing,13,8.7
Ranking of Kings,Adventure,Fantasy,Medieval World,Child,Male,Fictional,Wit Studio,Courage,Growth,23,8.9
Spy x Family,Action,Comedy,Cold War Era,Child,Female,Fictional,Wit Studio,Family,Espionage,25,8.6
Cyberpunk: Edgerunners,Sci-Fi,Action,Cyberpunk,Adult,Male,Multi-ethnic,Trigger,Technology,Rebellion,10,8.5
Mushoku Tensei: Jobless Reincarnation,Fantasy,Isekai,Fantasy World,Adult,Male,Fictional,Studio Bind,Reincarnation,Adventure,23,8.2
Oshi no Ko,Drama,Mystery,Modern Japan,Teen,Female,Japanese,Doga Kobo,Idols,Revenge,11,8.9
Bocchi the Rock!,Music,Comedy,Modern Japan,Teen,Female,Japanese,CloverWorks,Anxiety,Music,12,8.7
Vinland Saga,Historical,Action,Medieval Europe,Adult,Male,European,Wit Studio,War,Revenge,24,8.8
Chainsaw Man,Action,Horror,Modern Japan,Teen,Male,Japanese,MAPPA,Demons,Survival,12,8.6
Title,Genre,Subgenres,Setting,Protagonist_Demographics,Protagonist_Gender,Protagonist_Ethnicity,Main_Studio,Themes,Number_of_Episodes,Rating
Mobile Suit Gundam,Mecha,War,Space,Teen,Male,Japanese,Sunrise,War,Political,43,8.2
Space Battleship Yamato,Sci-Fi,Space Opera,Space,Adult,Male,Japanese,Academy Productions,War,Hope,26,8.0
Lupin the Third Part 1,Adventure,Comedy,Various,Adult,Male,Japanese,Tokyo Movie Shinsha,Heist,Action,23,7.9
Rose of Versailles,Historical,Drama,18th Century France,Young Adult,Female,European,TMS Entertainment,Revolution,Romance,40,8.3
Macross,Mecha,Sci-Fi,Space,Adult,Male,Japanese,Tatsunoko Production,War,Music,36,8.1
Dragon Ball,Adventure,Action,Fantasy,Child,Male,Fictional,Toei Animation,Martial Arts,Friendship,153,8.5
Nausicaä of the Valley of the Wind,Fantasy,Adventure,Post-Apocalyptic,Teen,Female,Fictional,Topcraft,Environmentalism,War,1,8.6
Dirty Pair,Sci-Fi,Action,Space,Adult,Female,Multi-ethnic,Sunrise,Bounty Hunters,Comedy,26,7.7
My Neighbor Totoro,Fantasy,Family,Rural Japan,Child,Female,Japanese,Studio Ghibli,Nature,Childhood,1,8.4
Akira,Sci-Fi,Cyberpunk,Neo-Tokyo,Teen,Male,Japanese,Tokyo Movie Shinsha,Power,Society,1,8.1
Cowboy Bebop,Sci-Fi,Action,Space,Adult,Male,Multi-ethnic,Sunrise,Bounty Hunters,Jazz,26,8.9
Neon Genesis Evangelion,Mecha,Psychological,Post-Apocalyptic,Teen,Male,Japanese,Gainax,Existentialism,Trauma,26,8.5
Princess Mononoke,Fantasy,Adventure,Ancient Japan,Young Adult,Female,Fictional,Studio Ghibli,Nature,Conflict,1,8.4
Cardcaptor Sakura,Magical Girl,Fantasy,Modern Japan,Child,Female,Japanese,Madhouse,Friendship,Magic,70,8.0
One Piece,Adventure,Action,Various,Teen,Male,Fictional,Toei Animation,Pirates,Friendship,Ongoing,8.6
Naruto,Action,Adventure,Fantasy,Teen,Male,Fictional,Studio Pierrot,Ninja,Friendship,220,8.3
Fullmetal Alchemist,Action,Adventure,Steampunk,Teen,Male,Fictional,Bones,Alchemy,Brotherhood,51,9.1
Death Note,Mystery,Thriller,Modern Japan,Teen,Male,Japanese,Madhouse,Justice,Morality,37,9.0
Code Geass,Mecha,Action,Alternate World,Teen,Male,Japanese,Sunrise,Rebellion,Strategy,50,8.7
Clannad,Slice of Life,Romance,Modern Japan,Teen,Male,Japanese,Kyoto Animation,Family,Grief,23,8.3
Toradora!,Romance,Comedy,School,Teen,Male,Japanese,J.C.Staff,Love,Friendship,25,8.1
Attack on Titan,Action,Dark Fantasy,Post-Apocalyptic,Teen,Male,Fictional,Wit Studio,Survival,War,89,8.8
Your Lie in April,Romance,Drama,Modern Japan,Teen,Male,Japanese,A-1 Pictures,Music,Grief,22,8.6
My Hero Academia,Action,Superhero,Modern Japan,Teen,Male,Japanese,Bones,Heroism,Friendship,Ongoing,8.5
Demon Slayer,Action,Fantasy,Taisho Era Japan,Teen,Male,Japanese,Ufotable,Demons,Family,52,8.7
Jujutsu Kaisen,Action,Supernatural,Modern Japan,Teen,Male,Japanese,MAPPA,Curses,Friendship,48,8.4
Violet Evergarden,Drama,Fantasy,Post-War,Young Adult,Female,European,Kyoto Animation,Grief,Healing,13,8.7
Ranking of Kings,Adventure,Fantasy,Medieval World,Child,Male,Fictional,Wit Studio,Courage,Growth,23,8.9
Spy x Family,Action,Comedy,Cold War Era,Child,Female,Fictional,Wit Studio,Family,Espionage,25,8.6
Cyberpunk: Edgerunners,Sci-Fi,Action,Cyberpunk,Adult,Male,Multi-ethnic,Trigger,Technology,Rebellion,10,8.5
Mushoku Tensei: Jobless Reincarnation,Fantasy,Isekai,Fantasy World,Adult,Male,Fictional,Studio Bind,Reincarnation,Adventure,23,8.2
Oshi no Ko,Drama,Mystery,Modern Japan,Teen,Female,Japanese,Doga Kobo,Idols,Revenge,11,8.9
Bocchi the Rock!,Music,Comedy,Modern Japan,Teen,Female,Japanese,CloverWorks,Anxiety,Music,12,8.7
Vinland Saga,Historical,Action,Medieval Europe,Adult,Male,European,Wit Studio,War,Revenge,24,8.8
Chainsaw Man,Action,Horror,Modern Japan,Teen,Male,Japanese,MAPPA,Demons,Survival,12,8.6
Mobile Suit Gundam,Mecha,War,Space,Teen,Male,Japanese,Sunrise,War,Political,43,8.2
Space Battleship Yamato,Sci-Fi,Space Opera,Space,Adult,Male,Japanese,Academy Productions,War,Hope,26,8.0
Lupin the Third Part 1,Adventure,Comedy,Various,Adult,Male,Japanese,Tokyo Movie Shinsha,Heist,Action,23,7.9
Rose of Versailles,Historical,Drama,18th Century France,Young Adult,Female,European,TMS Entertainment,Revolution,Romance,40,8.3
Macross,Mecha,Sci-Fi,Space,Adult,Male,Japanese,Tatsunoko Production,War,Music,36,8.1
Dragon Ball,Adventure,Action,Fantasy,Child,Male,Fictional,Toei Animation,Martial Arts,Friendship,153,8.5
Nausicaä of the Valley of the Wind,Fantasy,Adventure,Post-Apocalyptic,Teen,Female,Fictional,Topcraft,Environmentalism,War,1,8.6
Dirty Pair,Sci-Fi,Action,Space,Adult,Female,Multi-ethnic,Sunrise,Bounty Hunters,Comedy,26,7.7
My Neighbor Totoro,Fantasy,Family,Rural Japan,Child,Female,Japanese,Studio Ghibli,Nature,Childhood,1,8.4
Akira,Sci-Fi,Cyberpunk,Neo-Tokyo,Teen,Male,Japanese,Tokyo Movie Shinsha,Power,Society,1,8.1
Cowboy Bebop,Sci-Fi,Action,Space,Adult,Male,Multi-ethnic,Sunrise,Bounty Hunters,Jazz,26,8.9
Neon Genesis Evangelion,Mecha,Psychological,Post-Apocalyptic,Teen,Male,Japanese,Gainax,Existentialism,Trauma,26,8.5
Princess Mononoke,Fantasy,Adventure,Ancient Japan,Young Adult,Female,Fictional,Studio Ghibli,Nature,Conflict,1,8.4
Cardcaptor Sakura,Magical Girl,Fantasy,Modern Japan,Child,Female,Japanese,Madhouse,Friendship,Magic,70,8.0
One Piece,Adventure,Action,Various,Teen,Male,Fictional,Toei Animation,Pirates,Friendship,Ongoing,8.6
Naruto,Action,Adventure,Fantasy,Teen,Male,Fictional,Studio Pierrot,Ninja,Friendship,220,8.3
Fullmetal Alchemist,Action,Adventure,Steampunk,Teen,Male,Fictional,Bones,Alchemy,Brotherhood,51,9.1
Death Note,Mystery,Thriller,Modern Japan,Teen,Male,Japanese,Madhouse,Justice,Morality,37,9.0
Code Geass,Mecha,Action,Alternate World,Teen,Male,Japanese,Sunrise,Rebellion,Strategy,50,8.7
Clannad,Slice of Life,Romance,Modern Japan,Teen,Male,Japanese,Kyoto Animation,Family,Grief,23,8.3
Toradora!,Romance,Comedy,School,Teen,Male,Japanese,J.C.Staff,Love,Friendship,25,8.1
Attack on Titan,Action,Dark Fantasy,Post-Apocalyptic,Teen,Male,Fictional,Wit Studio,Survival,War,89,8.8
Your Lie in April,Romance,Drama,Modern Japan,Teen,Male,Japanese,A-1 Pictures,Music,Grief,22,8.6
My Hero Academia,Action,Superhero,Modern Japan,Teen,Male,Japanese,Bones,Heroism,Friendship,Ongoing,8.5
Demon Slayer,Action,Fantasy,Taisho Era Japan,Teen,Male,Japanese,Ufotable,Demons,Family,52,8.7
Jujutsu Kaisen,Action,Supernatural,Modern Japan,Teen,Male,Japanese,MAPPA,Curses,Friendship,48,8.4
Violet Evergarden,Drama,Fantasy,Post-War,Young Adult,Female,European,Kyoto Animation,Grief,Healing,13,8.7
Ranking of Kings,Adventure,Fantasy,Medieval World,Child,Male,Fictional,Wit Studio,Courage,Growth,23,8.9
Spy x Family,Action,Comedy,Cold War Era,Child,Female,Fictional,Wit Studio,Family,Espionage,25,8.6
Cyberpunk: Edgerunners,Sci-Fi,Action,Cyberpunk,Adult,Male,Multi-ethnic,Trigger,Technology,Rebellion,10,8.5
Mushoku Tensei: Jobless Reincarnation,Fantasy,Isekai,Fantasy World,Adult,Male,Fictional,Studio Bind,Reincarnation,Adventure,23,8.2
Oshi no Ko,Drama,Mystery,Modern Japan,Teen,Female,Japanese,Doga Kobo,Idols,Revenge,11,8.9
Bocchi the Rock!,Music,Comedy,Modern Japan,Teen,Female,Japanese,CloverWorks,Anxiety,Music,12,8.7
Vinland Saga,Historical,Action,Medieval Europe,Adult,Male,European,Wit Studio,War,Revenge,24,8.8
Chainsaw Man,Action,Horror,Modern Japan,Teen,Male,Japanese,MAPPA,Demons,Survival,12,8.6
Mobile Suit Gundam: The Witch From Mercury,Mecha,Sci-Fi,Space,Teen,Female,Fictional,Sunrise,War,Political,24,8.4
Summer Time Rendering,Mystery,Thriller,Island,Teen,Male,Japanese,OLM,Time Loop,Supernatural,25,8.5
Michiko & Hatchin,Action,Adventure,Fictional South America,Adult,Female,Multi-ethnic,Manglobe,Freedom,Family,22,8.2
Samurai Champloo,Action,Adventure,Edo Period Japan,Adult,Male,Multi-ethnic,Manglobe,Hip-hop,Journey,26,8.4
Great Pretender,Crime,Comedy,Various,Adult,Male,Multi-ethnic,Wit Studio,Con Artists,Heist,23,8.1
Dungeon Meshi,Adventure,Fantasy,Dungeon,Adult,Multi-species,Fictional,Trigger,Cooking,Survival,24,8.3
Yuri on Ice,Sports,Comedy,Modern,Adult,Male,Multi-ethnic,MAPPA,Figure Skating,Love,12,8.1
Aggretsuko,Comedy,Slice of Life,Modern Japan,Adult,Female,Fictional,Fanworks,Workplace,Stress,50,7.8
Odd Taxi,Mystery,Thriller,Modern Japan,Adult,Male,Multi-ethnic,OLM,Urban Life,Conspiracy,13,8.5
Blue Period,Slice of Life,Art,Modern Japan,Teen,Male,Japanese,Seven Arcs,Art,Self-Discovery,12,8.0
Initial D First Stage,Sports,Action,Japan,Teen,Male,Japanese,Gallop,Racing,Cars,26,8.1
Hunter x Hunter (1999),Adventure,Action,Fantasy,Child,Male,Fictional,Nippon Animation,Adventure,Friendship,62,8.5
Hunter x Hunter (2011),Adventure,Action,Fantasy,Child,Male,Fictional,Madhouse,Adventure,Friendship,148,8.9
Monster,Mystery,Thriller,Europe,Adult,Male,German,Madhouse,Morality,Psychological,74,8.8
Gintama,Action,Comedy,Historical,Adult,Male,Japanese,Sunrise,Satire,Action,201,9.0
Steins;Gate,Sci-Fi,Thriller,Modern Japan,Adult,Male,Japanese,White Fox,Time Travel,Conspiracy,24,9.1
Code Geass: Lelouch of the Rebellion R2,Mecha,Action,Alternate World,Teen,Male,Japanese,Sunrise,Rebellion,Strategy,25,8.9
Mushishi,Fantasy,Slice of Life,Feudal Japan,Adult,Male,Japanese,Artland,Nature,Supernatural,26,8.7
Erased,Mystery,Supernatural,Modern Japan,Adult,Male,Japanese,A-1 Pictures,Time Travel,Revenge,12,8.6
Made in Abyss,Adventure,Fantasy,Fantasy World,Child,Female,Fictional,Kinema Citrus,Exploration,Survival,13,8.5
March Comes in like a Lion,Slice of Life,Drama,Modern Japan,Teen,Male,Japanese,Shaft,Grief,Growth,22,8.5
Kaguya-sama: Love Is War,Romance,Comedy,School,Teen,Male,Japanese,A-1 Pictures,Love,Psychological,12,8.4
Rascal Does Not Dream of Bunny Girl Senpai,Romance,Supernatural,Modern Japan,Teen,Male,Japanese,CloverWorks,Adolescence,Supernatural,13,8.3
Re:Zero - Starting Life in Another World,Fantasy,Isekai,Fantasy World,Teen,Male,Fictional,White Fox,Time Loop,Survival,25,8.2
Konosuba,Adventure,Comedy,Fantasy World,Teen,Male,Fictional,Studio Deen,Isekai,Parody,10,8.0
Parasyte -the maxim-,Action,Horror,Modern Japan,Teen,Male,Japanese,Madhouse,Survival,Body Horror,24,8.3
Ping Pong the Animation,Sports,Drama,Modern Japan,Teen,Male,Japanese,Tatsunoko Production,Table Tennis,Competition,11,8.6
Devilman Crybaby,Action,Horror,Modern Japan,Adult,Male,Japanese,Science SARU,Demons,Violence,10,7.8
The Tatami Galaxy,Comedy,Psychological,Modern Japan,Adult,Male,Japanese,Madhouse,Time Loop,Self-Discovery,11,8.5
Kaiba,Sci-Fi,Romance,Futuristic,Adult,Male,Fictional,Madhouse,Identity,Memory,12,8.1
Angel Beats!,Action,Supernatural,Afterlife,Teen,Male,Japanese,P.A. Works,Afterlife,Friendship,13,8.0
Puella Magi Madoka Magica,Magical Girl,Psychological,Modern Japan,Teen,Female,Japanese,Shaft,Magic,Despair,12,8.3
Ergo Proxy,Sci-Fi,Mystery,Dystopian,Adult,Male,Fictional,Manglobe,Identity,Philosophy,23,8.0
Black Lagoon,Action,Crime,Southeast Asia,Adult,Female,Multi-ethnic,Madhouse,Gunfights,Morality,24,8.1
Haikyuu!!,Sports,Comedy,School,Teen,Male,Japanese,Production I.G,Volleyball,Teamwork,25,8.7
Kill la Kill,Action,Comedy,School,Teen,Female,Japanese,Trigger,Over the Top,Fashion,24,8.3
Space Dandy,Sci-Fi,Comedy,Space,Adult,Male,Multi-ethnic,Bones,Adventure,Absurd,26,7.9
A Place Further than the Universe,Adventure,Slice of Life,Antarctica,Teen,Female,Japanese,Madhouse,Friendship,Growth,13,8.4
Showa Genroku Rakugo Shinju,Drama,Historical,Showa Era Japan,Adult,Male,Japanese,Studio Deen,Rakugo,Tradition,13,8.6
Saga of Tanya the Evil,Action,Isekai,Fantasy World,Child,Female,German,NUT,War,Reincarnation,12,7.9
Beastars,Drama,Slice of Life,Animal Society,Teen,Male,Fictional,Orange,Society,Acceptance,12,7.9
Dororo,Action,Historical,Sengoku Period Japan,Teen,Male,Japanese,MAPPA,Demons,Redemption,24,8.4
Given,Romance,Music,Modern Japan,Teen,Male,Japanese,Lerche,Music,Love,11,8.1
Code Geass,Mecha,Action,Alternate World,Teen,Male,Japanese,Sunrise,Rebellion,Strategy,50,8.7
A Certain Scientific Railgun,Sci-Fi,Action,Modern Japan,Teen,Female,Japanese,J.C.Staff,Superpowers,Science,24,8.0
Bakemonogatari,Mystery,Supernatural,Modern Japan,Teen,Male,Japanese,Shaft,Vampires,Monsters,15,8.3
Berserk,Action,Dark Fantasy,Medieval World,Adult,Male,European,OLM,War,Demons,25,8.6
Gurren Lagann,Mecha,Action,Post-Apocalyptic,Teen,Male,Fictional,Gainax,Courage,Fighting,27,8.7
FLCL,Sci-Fi,Comedy,Suburban Japan,Teen,Male,Japanese,Gainax,Coming of Age,Absurd,6,8.0
The Promised Neverland,Thriller,Fantasy,Orphanage,Child,Female,Fictional,CloverWorks,Escape,Survival,12,8.3
Hyouka,Mystery,Slice of Life,Modern Japan,Teen,Male,Japanese,Kyoto Animation,Mystery,School Life,22,8.0
AnoHana: The Flower We Saw That Day,Drama,Supernatural,Modern Japan,Teen,Male,Japanese,A-1 Pictures,Grief,Friendship,11,8.2
Shigatsu wa Kimi no Uso,Romance,Drama,Modern Japan,Teen,Male,Japanese,A-1 Pictures,Music,Grief,22,8.6
Spice and Wolf,Adventure,Fantasy,Medieval Europe,Adult,Male,European,Brain's Base,Commerce,Romance,13,8.1
Mushishi Zoku Shou,Fantasy,Slice of Life,Feudal Japan,Adult,Male,Japanese,Artland,Nature,Supernatural,10,8.8
Mononoke,Mystery,Horror,Feudal Japan,Adult,Male,Japanese,Toei Animation,Supernatural,Exorcism,12,8.5
No Game No Life,Adventure,Fantasy,Alternate World,Teen,Male,Fictional,Madhouse,Gaming,Strategy,12,7.8
Monthly Girls' Nozaki-kun,Comedy,Romance,School,Teen,Female,Japanese,Dogakobo,Romance,Parody,12,8.1
Akatsuki no Yona,Adventure,Fantasy,Ancient Korea,Teen,Female,Fictional,Studio Pierrot,Rebellion,Romance,24,8.3
Wolf's Rain,Adventure,Fantasy,Post-Apocalyptic,Adult,Male,Fictional,Bones,Wolves,Survival,26,7.9
Planetes,Sci-Fi,Slice of Life,Space,Adult,Male,Japanese,Sunrise,Space Travel,Work,26,8.2
ef: A Tale of Memories,Romance,Drama,Modern Japan,Teen,Male,Japanese,Shaft,Love,Loss,12,7.9
Kaichou wa Maid-sama!,Romance,Comedy,School,Teen,Female,Japanese,J.C.Staff,Romance,School,26,7.8
Daily Lives of High School Boys,Comedy,Slice of Life,School,Teen,Male,Japanese,Sunrise,Comedy,School,12,7.9
Nana,Drama,Music,Modern Japan,Adult,Female,Japanese,Madhouse,Music,Relationships,47,8.5
Usagi Drop,Slice of Life,Family,Modern Japan,Adult,Male,Japanese,Production I.G,Parenting,Family,11,8.1
Grave of the Fireflies,War,Drama,WWII Japan,Child,Male,Japanese,Studio Ghibli,War,Loss,1,8.4
Perfect Blue,Psychological,Thriller,Modern Japan,Adult,Female,Japanese,Madhouse,Identity,Obsession,1,8.1
Paprika,Sci-Fi,Mystery,Modern Japan,Adult,Female,Japanese,Madhouse,Dreams,Psychological,1,8.1
Texhnolyze,Sci-Fi,Cyberpunk,Dystopian,Adult,Male,Fictional,Madhouse,Technology,Humanity,22,7.8
Legend of the Galactic Heroes,Sci-Fi,Space Opera,Space,Adult,Male,Multi-Ethnic,Artland,War,Politics,110,9.0
Haibane Renmei,Fantasy,Slice of Life,Heaven,Young Adult,Female,Fictional,Radix,Self-Discovery,Purpose,13,8.1
Honey and Clover,Slice of Life,Romance,Modern Japan,Teen,Male,Japanese,J.C.Staff,Art,Love,24,8.2
Azumanga Daioh,Comedy,Slice of Life,School,Teen,Female,Japanese,J.C.Staff,Comedy,School Life,26,8.0
School Rumble,Comedy,Romance,School,Teen,Male,Japanese,Comet,Love,School,26,7.7
NHK ni Youkoso!,Comedy,Psychological,Modern Japan,Adult,Male,Japanese,Gonzo,Hikikomori,Anxiety,24,8.0
Ouran High School Host Club,Comedy,Romance,School,Teen,Female,Japanese,Bones,Romance,Parody,26,7.9
Dennou Coil,Sci-Fi,Adventure,Futuristic Japan,Child,Female,Japanese,Madhouse,Technology,Friendship,26,8.2
Ano Natsu de Matteru,Sci-Fi,Romance,Rural Japan,Teen,Male,Japanese,J.C.Staff,Love,Friendship,12,7.8
Kimi ni Todoke,Romance,Slice of Life,School,Teen,Female,Japanese,Production I.G,Romance,Shyness,25,8.2
Working!!,Comedy,Slice of Life,Restaurant,Teen,Female,Japanese,A-1 Pictures,Comedy,Workplace,13,7.8
Shirobako,Slice of Life,Work,Modern Japan,Adult,Female,Japanese,P.A. Works,Anime Industry,Dreams,24,8.4
Grand Blue,Comedy,Slice of Life,University,Teen,Male,Japanese,Zero-G,Comedy,College Life,12,8.3
Yuru Camp,Slice of Life,Outdoor,Modern Japan,Teen,Female,Japanese,C-Station,Camping,Friendship,12,8.2
Asobi Asobase,Comedy,School,Modern Japan,Teen,Female,Japanese,Lerche,Comedy,School Life,12,8.1
Kotaro Lives Alone,Slice of Life,Comedy,Modern Japan,Child,Male,Japanese,Liden Films,Childhood,Loneliness,10,8.5
Skip Beat!,Comedy,Romance,Entertainment Industry,Teen,Female,Japanese,Hal Film Maker,Romance,Revenge,25,7.9
K-On!,Slice of Life,Music,School,Teen,Female,Japanese,Kyoto Animation,Music,Friendship,13,7.9
Nichijou,Comedy,Slice of Life,School,Teen,Female,Japanese,Kyoto Animation,Absurdity,Comedy,26,8.2
Tamako Market,Slice of Life,Comedy,Shopping District,Teen,Female,Japanese,Kyoto Animation,Daily Life,Community,12,7.8
Clannad After Story,Slice of Life,Romance,Modern Japan,Teen,Male,Japanese,Kyoto Animation,Family,Grief,24,8.9
Miss Kobayashi's Dragon Maid,Comedy,Fantasy,Modern Japan,Adult,Female,Fictional,Kyoto Animation,Dragons,Daily Life,13,8.1
Liz and the Blue Bird,Slice of Life,Music,School,Teen,Female,Japanese,Kyoto Animation,Friendship,Music,1,7.9
Fate/Zero,Action,Fantasy,Modern Japan,Adult,Male,Japanese,ufotable,War,Magic,25,8.4
Fate/stay night: Unlimited Blade Works,Action,Fantasy,Modern Japan,Teen,Male,Japanese,ufotable,War,Magic,25,8.3
Revue Starlight,Musical,Action,School,Teen,Female,Japanese,Kinema Citrus,Theatre,Dreams,12,7.7
Girls' Last Tour,Adventure,Slice of Life,Post-Apocalyptic,Child,Female,Fictional,White Fox,Survival,Loneliness,12,8.1
Natsume's Book of Friends,Supernatural,Slice of Life,Rural Japan,Teen,Male,Japanese,Brain's Base,Spirits,Healing,13,8.5
Barakamon,Slice of Life,Comedy,Rural Japan,Adult,Male,Japanese,Kinema Citrus,Growth,Art,12,8.3
Food Wars!,Comedy,Ecchi,Cooking,Teen,Male,Japanese,J.C.Staff,Food,Competition,24,7.9
Log Horizon,Action,Adventure,Isekai,Adult,Male,Fictional,Satelight,Gaming,Strategy,25,7.8
The Devil Is a Part-Timer!,Comedy,Fantasy,Modern Japan,Adult,Male,Japanese,White Fox,Demons,Working,13,7.7
Is It Wrong to Try to Pick Up Girls in a Dungeon?,Adventure,Fantasy,Fantasy World,Teen,Male,Fictional,J.C.Staff,Adventure,Dungeons,13,7.5
That Time I Got Reincarnated as a Slime,Fantasy,Isekai,Fantasy World,Adult,Male,Fictional,8bit,Reincarnation,Community Building,24,8.0
My Teen Romantic Comedy SNAFU,Comedy,Romance,School,Teen,Male,Japanese,Brain's Base,Romance,Solitude,13,8.0
Toradora!,Romance,Comedy,School,Teen,Male,Japanese,J.C.Staff,Love,Friendship,25,8.1
Fruits Basket,Slice of Life,Romance,Modern Japan,Teen,Female,Japanese,TMS Entertainment,Family,Supernatural,26,8.2
Welcome to the NHK,Comedy,Psychological,Modern Japan,Adult,Male,Japanese,Gonzo,Hikikomori,Anxiety,24,8.0
Silver Spoon,Slice of Life,Comedy,Rural Japan,Teen,Male,Japanese,A-1 Pictures,Agriculture,Growth,11,7.9
Monthly Girls' Nozaki-kun,Comedy,Romance,School,Teen,Female,Japanese,Dogakobo,Romance,Parody,12,8.1
Bloom into You,Romance,Slice of Life,School,Teen,Female,Japanese,TROYCA,Love,Identity,13,8.1
The Quintessential Quintuplets,Romance,Harem,School,Teen,Male,Japanese,Tezuka Productions,Romance,Comedy,12,7.6
Ascendance of a Bookworm,Fantasy,Slice of Life,Isekai,Child,Female,Fictional,Ajia-Do,Books,Reincarnation,14,8.1
Run with the Wind,Sports,Drama,University,Young Adult,Male,Japanese,Production I.G,Running,Friendship,23,8.7
Aggretsuko (Season 2),Comedy,Slice of Life,Modern Japan,Adult,Female,Fictional,Fanworks,Workplace,Stress,10,7.8
Akudama Drive,Action,Cyberpunk,Dystopian,Adult,Multi-ethnic,Pierrot,Crime,Rebellion,12,7.6
Deca-Dence,Action,Sci-Fi,Post-Apocalyptic,Teen,Female,Fictional,NUT,Survival,Technology,12,7.5
Listeners,Music,Sci-Fi,Adventure,Teen,Female,Multi-ethnic,MAPPA,Music,Travel,12,7.3
Talentless Nana,Supernatural,Thriller,School,Teen,Female,Fictional,Bridge,Powers,Mystery,13,7.3
Shadows House,Mystery,Supernatural,Mansion,Child,Female,Fictional,CloverWorks,Mystery,Class,13,7.7
